number of outliers: 282
id,time,values
1,11:9:13,280.8
1,11:9:33,2758.2
1,11:9:53,42.4
1,11:10:13,2721.8
1,11:10:23,2510.6
1,11:10:33,238
1,11:10:43,267.4
1,11:10:53,1896.2
1,11:11:23,2658.8
1,11:11:33,2095.2
1,11:11:43,2557.6
1,11:11:53,528
1,11:12:3,573
1,11:12:13,2099.2
1,11:12:23,135
1,11:12:33,1881.6
1,11:12:43,2839.6
1,11:13:3,788.2
1,11:13:23,2210.6
1,11:13:33,243.6
1,11:13:43,356.2
1,11:13:53,419.6
1,11:14:3,2192.6
1,11:14:13,1654.2
1,11:14:33,2994.4
1,11:14:53,429
1,11:15:3,188.6
1,11:15:13,823
1,11:15:23,2012.8
1,11:15:33,2819.6
1,11:15:43,2007.8
1,11:15:53,2200.6
1,11:16:3,326.2
1,11:16:13,2203.6
1,11:16:23,2790.4
1,11:16:33,707.2
1,11:16:43,2715.8
1,11:16:53,2884.8
1,11:17:3,2457.8
1,11:17:13,2570
1,11:17:33,367.2
1,11:17:43,2249.2
1,11:18:3,2482.6
1,11:18:13,2625
1,11:18:23,531.6
1,11:18:43,127.2
1,11:19:3,1936.2
1,11:19:13,729.2
1,11:19:23,509.6
1,11:19:33,267
1,11:19:43,2564.6
1,11:19:53,1838.6
1,11:20:3,2038.6
1,11:20:13,406.8
1,11:20:23,2805.8
1,11:20:43,2184.2
1,11:20:53,837.4
1,11:21:3,250.6
1,11:21:13,319.6
1,11:21:23,1966.8
1,11:21:33,2040.6
1,11:21:43,1836
1,11:21:53,2810.6
1,11:22:3,1634
1,11:22:13,622
1,11:22:23,367.8
1,11:22:33,130.4
1,11:22:43,2391.8
1,11:22:53,162.4
1,11:23:3,1625.8
1,11:23:13,1618
1,11:23:23,2433.8
1,11:23:33,2724.2
1,11:23:43,2804
1,11:23:53,1713
1,11:24:3,2455.4
1,11:24:13,137.6
1,11:24:33,359.4
1,11:24:43,685.4
1,11:24:53,2377
1,11:25:3,2705.2
1,11:25:13,2554
1,11:25:23,2726.8
1,11:25:33,314
1,11:25:43,2851
1,11:25:53,2473.6
1,11:26:3,24.4
1,11:26:13,354.2
1,11:26:23,2122.4
1,11:26:33,459.2
1,11:26:53,2031.6
1,11:27:3,2429.6
1,11:27:23,1784.6
1,11:27:33,2938.8
1,11:28:3,429.8
1,11:28:13,194.6
1,11:28:23,539.8
1,11:28:33,582.6
1,11:28:43,875.4
1,11:28:53,739.2
1,11:29:3,2738
1,11:29:13,2816
1,11:29:23,185.2
1,11:29:43,733.6
1,11:30:3,12.8
1,11:30:23,2848.8
1,11:30:33,436.8
1,11:30:43,2063.6
1,11:30:53,734.4
1,11:31:3,2424.8
1,11:31:13,540.6
1,11:31:33,205.6
1,11:31:53,484.8
1,11:32:3,406.2
1,11:32:13,547.4
1,11:32:23,2096.6
1,11:32:43,274.8
1,11:32:53,491
1,11:33:13,2971.4
1,11:33:23,2123.4
